time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/10/21/16:48:42.221642,401188,1666392522,220589160,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.270873,401189,1666392522,269949436,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.320127,401190,1666392522,319119453,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.369320,401191,1666392522,368156194,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.418863,401192,1666392522,417264461,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.467140,401193,1666392522,466323852,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.516740,401194,1666392522,515571117,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.566742,401195,1666392522,564726352,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.615009,401196,1666392522,614095449,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.667968,401197,1666392522,666988372,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.717250,401198,1666392522,716320991,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.766556,401199,1666392522,765614509,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.815555,401200,1666392522,814626455,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.865177,401201,1666392522,863860130,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.914821,401202,1666392522,913030147,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.963272,401203,1666392522,962125301,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.012640,401204,1666392523,11334180,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.061559,401205,1666392523,60437202,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.110662,401206,1666392523,109835863,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.164778,401207,1666392523,163143873,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.213951,401208,1666392523,212261438,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.262687,401209,1666392523,261418342,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.312324,401210,1666392523,310491085,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.361041,401211,1666392523,359536170,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.410228,401212,1666392523,408763885,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.459904,401213,1666392523,458078145,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.509161,401214,1666392523,507076263,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.557265,401215,1666392523,556204795,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.607497,401216,1666392523,605678081,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.659543,401217,1666392523,658346652,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.709422,401218,1666392523,707792282,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.758140,401219,1666392523,756928443,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.807339,401220,1666392523,806064844,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.857308,401221,1666392523,855279684,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.906004,401222,1666392523,904366731,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:43.955172,401223,1666392523,953756570,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.004068,401224,1666392524,2662658,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.055074,401225,1666392524,52730321,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.106586,401226,1666392524,104622364,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.158958,401227,1666392524,158041715,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.208550,401228,1666392524,207425117,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.257566,401229,1666392524,256573677,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.307817,401230,1666392524,306792736,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.356949,401231,1666392524,355096817,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
