time,robot_x_axis,robot_y_axis,robot_z_axis
1651873453064445018,0.035,-0.06,0.03
1651873453113712072,0.035,-0.06,0.03
1651873453162953138,0.035,-0.06,0.03
1651873453211995601,0.035,-0.06,0.03
1651873453261267423,0.035,-0.06,0.03
1651873453310399770,0.035,-0.06,0.03
1651873453359491109,0.035,-0.06,0.03
1651873453408582687,0.035,-0.06,0.03
1651873453461730957,0.035,-0.06,0.03
1651873453511033058,0.035,-0.06,0.03
1651873453560163736,0.035,-0.06,0.03
1651873453609278917,0.035,-0.06,0.03
1651873453658398151,0.035,-0.06,0.03
1651873453707571506,0.035,-0.06,0.03
1651873453756834506,0.035,-0.06,0.03
1651873453805974245,0.035,-0.06,0.03
1651873453855294942,0.035,-0.06,0.03
1651873453904292583,0.035,-0.06,0.03
1651873453953570842,0.035,-0.06,0.03
1651873454002554178,0.035,-0.06,0.03
1651873454051684856,0.035,-0.06,0.03
1651873454100849628,0.035,-0.06,0.03
1651873454150192499,0.035,-0.06,0.03
1651873454199249982,0.035,-0.06,0.03
1651873454248252630,0.035,-0.06,0.03
1651873454297405481,0.035,-0.06,0.03
1651873454346436262,0.035,-0.06,0.03
1651873454395574092,0.035,-0.06,0.03
1651873454444747686,0.035,-0.06,0.03
1651873454494077920,0.035,-0.06,0.03
1651873454543307304,0.035,-0.06,0.03
1651873454592494010,0.035,-0.06,0.03
1651873454641571998,0.035,-0.06,0.03
1651873454690637826,0.035,-0.06,0.03
1651873454739763498,0.035,-0.06,0.03
1651873454789019346,0.035,-0.06,0.03
1651873454838399887,0.035,-0.06,0.03
1651873454887386560,0.035,-0.06,0.03
1651873454940468072,0.035,-0.06,0.03
1651873454989831686,0.035,-0.06,0.03
1651873455038873910,0.035,-0.06,0.03
1651873455088080167,0.035,-0.06,0.03
1651873455137245655,0.035,-0.06,0.03
1651873455186614751,0.035,-0.06,0.03
1651873455235680580,0.035,-0.06,0.03
1651873455284769773,0.035,-0.06,0.03
1651873455333938598,0.035,-0.06,0.03
1651873455383021831,0.035,-0.06,0.03
1651873455432134389,0.035,-0.06,0.03
1651873455481429815,0.035,-0.06,0.03
1651873455530542373,0.035,-0.06,0.03
1651873455579652309,0.035,-0.06,0.03
1651873455628808975,0.035,-0.06,0.03
1651873455678061723,0.035,-0.06,0.03
1651873455727104425,0.035,-0.06,0.03
1651873455776207208,0.035,-0.06,0.03
1651873455825460910,0.035,-0.06,0.03
1651873455874421834,0.035,-0.06,0.03
1651873455923551321,0.035,-0.06,0.03
1651873455972776412,0.035,-0.06,0.03
1651873456022043466,0.035,-0.06,0.03
1651873456071061134,0.035,-0.06,0.03
1651873456120404720,0.035,-0.06,0.03
1651873456169405460,0.035,-0.06,0.03
1651873456218475580,0.035,-0.06,0.03
1651873456267726659,0.035,-0.06,0.03
1651873456316999673,0.035,-0.06,0.03
1651873456366256237,0.035,-0.06,0.03
1651873456419062614,0.035,-0.06,0.03
1651873456469432830,0.035,-0.06,0.03
1651873456517859935,0.035,-0.06,0.03
1651873456566801071,0.035,-0.06,0.03
1651873456616004467,0.035,-0.06,0.03
1651873456665105581,0.035,-0.06,0.03
1651873456714284658,0.035,-0.06,0.03
1651873456763370275,0.035,-0.06,0.03
1651873456812949657,0.035,-0.06,0.03
1651873456861898899,0.035,-0.06,0.03
1651873456910921573,0.035,-0.06,0.03
1651873456960023880,0.035,-0.06,0.03
1651873457009218215,0.035,-0.06,0.03
1651873457058333396,0.035,-0.06,0.03
1651873457107448816,0.035,-0.06,0.03
1651873457156721830,0.035,-0.06,0.03
1651873457206012010,0.035,-0.06,0.03
1651873457254962205,0.035,-0.06,0.03
1651873457304173469,0.035,-0.06,0.03
1651873457353186368,0.035,-0.06,0.03
1651873457402553319,0.035,-0.06,0.03
1651873457451783418,0.035,-0.06,0.03
1651873457500754594,0.035,-0.06,0.03
1651873457549947023,0.035,-0.06,0.03
1651873457599001169,0.035,-0.06,0.03
1651873457648344278,0.035,-0.06,0.03
1651873457697363615,0.035,-0.06,0.03
1651873457746489286,0.035,-0.06,0.03
1651873457796025037,0.035,-0.06,0.03
1651873457844981431,0.035,-0.06,0.03
1651873457898045778,0.035,-0.06,0.03
1651873457947268247,0.035,-0.06,0.03
1651873457996528863,0.035,-0.06,0.03
1651873458045769691,0.035,-0.06,0.03
1651873458094786643,0.035,-0.06,0.03
1651873458143994331,0.035,-0.06,0.03
1651873458193108558,0.035,-0.06,0.03
1651873458242370605,0.035,-0.06,0.03
