time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:48:55.481137,86,1666392535,475598655,,18.817211151123047
2022/10/21/16:48:55.681714,87,1666392535,674598655,,18.817211151123047
2022/10/21/16:48:55.878365,88,1666392535,873598655,,20.77224349975586
2022/10/21/16:48:56.079189,89,1666392536,73598655,,16.862178802490234
2022/10/21/16:48:56.279711,90,1666392536,271598655,,15.884661674499512
2022/10/21/16:48:56.476420,91,1666392536,471598655,,16.862178802490234
2022/10/21/16:48:56.677209,92,1666392536,671598655,,19.794727325439453
2022/10/21/16:48:56.877913,93,1666392536,873598655,,18.817211151123047
2022/10/21/16:48:57.078916,94,1666392537,74955596,,19.794727325439453
2022/10/21/16:48:57.279324,95,1666392537,273955596,,19.794727325439453
2022/10/21/16:48:57.475869,96,1666392537,473955596,,17.83969497680664
2022/10/21/16:48:57.677156,97,1666392537,672955596,,19.794727325439453
2022/10/21/16:48:57.877378,98,1666392537,871955596,,17.83969497680664
2022/10/21/16:48:58.073875,99,1666392538,71955596,,16.862178802490234
2022/10/21/16:48:58.274590,100,1666392538,269955596,,15.884661674499512
2022/10/21/16:48:58.471405,101,1666392538,469955596,,18.817211151123047
2022/10/21/16:48:58.671961,102,1666392538,669955596,,20.77224349975586
2022/10/21/16:48:58.872647,103,1666392538,867955596,,17.83969497680664
2022/10/21/16:48:59.069284,104,1666392539,67955596,,13.9296293258667
2022/10/21/16:48:59.270490,105,1666392539,267955596,,15.884661674499512
2022/10/21/16:48:59.470807,106,1666392539,468955596,,19.794727325439453
2022/10/21/16:48:59.671537,107,1666392539,668025627,,18.817211151123047
2022/10/21/16:48:59.871985,108,1666392539,867025627,,17.83969497680664
2022/10/21/16:49:00.068682,109,1666392540,66025627,,17.83969497680664
2022/10/21/16:49:00.269608,110,1666392540,266025627,,19.794727325439453
2022/10/21/16:49:00.470129,111,1666392540,465025627,,19.794727325439453
2022/10/21/16:49:00.666789,112,1666392540,664025627,,16.862178802490234
2022/10/21/16:49:00.867406,113,1666392540,863025627,,19.794727325439453
2022/10/21/16:49:01.068013,114,1666392541,63025627,,16.862178802490234
2022/10/21/16:49:01.264745,115,1666392541,262025627,,17.83969497680664
2022/10/21/16:49:01.465539,116,1666392541,461025627,,15.884661674499512
2022/10/21/16:49:01.666169,117,1666392541,661025627,,15.884661674499512
2022/10/21/16:49:01.862694,118,1666392541,859025627,,18.817211151123047
2022/10/21/16:49:02.067898,119,1666392542,62025627,,17.83969497680664
2022/10/21/16:49:02.264308,120,1666392542,262143268,,18.817211151123047
2022/10/21/16:49:02.464819,121,1666392542,460143268,,14.907145500183105
2022/10/21/16:49:02.665961,122,1666392542,660143268,,19.794727325439453
2022/10/21/16:49:02.862207,123,1666392542,859143268,,17.83969497680664
2022/10/21/16:49:03.063107,124,1666392543,58143268,,16.862178802490234
2022/10/21/16:49:03.263679,125,1666392543,258143268,,17.83969497680664
2022/10/21/16:49:03.461026,126,1666392543,457143268,,18.817211151123047
2022/10/21/16:49:03.661068,127,1666392543,657143268,,13.9296293258667
2022/10/21/16:49:03.861557,128,1666392543,856143268,,18.817211151123047
2022/10/21/16:49:04.059976,129,1666392544,55143268,,15.884661674499512
2022/10/21/16:49:04.258899,130,1666392544,255143268,,15.884661674499512
2022/10/21/16:49:04.459522,131,1666392544,453143268,,16.862178802490234
2022/10/21/16:49:04.660282,132,1666392544,656143268,,18.817211151123047
2022/10/21/16:49:04.861300,133,1666392544,855912652,,18.817211151123047
2022/10/21/16:49:05.057517,134,1666392545,53912652,,17.83969497680664
2022/10/21/16:49:05.258458,135,1666392545,253912652,,16.862178802490234
2022/10/21/16:49:05.459171,136,1666392545,452912652,,18.817211151123047
2022/10/21/16:49:05.655963,137,1666392545,651912652,,17.83969497680664
2022/10/21/16:49:05.856677,138,1666392545,851912652,,14.907145500183105
2022/10/21/16:49:06.057114,139,1666392546,50912652,,16.862178802490234
2022/10/21/16:49:06.253743,140,1666392546,249912652,,14.907145500183105
2022/10/21/16:49:06.454417,141,1666392546,448912652,,19.794727325439453
2022/10/21/16:49:06.655215,142,1666392546,648912652,,16.862178802490234
2022/10/21/16:49:06.851785,143,1666392546,847912652,,16.862178802490234
2022/10/21/16:49:07.052808,144,1666392547,46912652,,16.862178802490234
2022/10/21/16:49:07.253225,145,1666392547,249912652,,19.794727325439453
2022/10/21/16:49:07.453933,146,1666392547,449232877,,15.884661674499512
2022/10/21/16:49:07.654491,147,1666392547,649232877,,18.817211151123047
2022/10/21/16:49:07.851582,148,1666392547,849232877,,17.83969497680664
2022/10/21/16:49:08.051986,149,1666392548,47232877,,17.83969497680664
2022/10/21/16:49:08.252542,150,1666392548,247232877,,17.83969497680664
2022/10/21/16:49:08.449145,151,1666392548,447232877,,16.862178802490234
2022/10/21/16:49:08.649964,152,1666392548,645232877,,15.884661674499512
2022/10/21/16:49:08.850477,153,1666392548,845232877,,11.974573135375977
2022/10/21/16:49:09.047181,154,1666392549,44232877,,15.884661674499512
2022/10/21/16:49:09.247996,155,1666392549,243232877,,19.794727325439453
2022/10/21/16:49:09.444685,156,1666392549,443232877,,16.862178802490234
2022/10/21/16:49:09.645323,157,1666392549,642232877,,17.83969497680664
2022/10/21/16:49:09.846041,158,1666392549,845232877,,19.794727325439453
2022/10/21/16:49:10.046895,159,1666392550,42271436,,17.83969497680664
2022/10/21/16:49:10.247630,160,1666392550,242271436,,19.794727325439453
2022/10/21/16:49:10.444145,161,1666392550,442271436,,19.794727325439453
2022/10/21/16:49:10.644753,162,1666392550,640271436,,13.9296293258667
2022/10/21/16:49:10.845433,163,1666392550,840271436,,15.884661674499512
2022/10/21/16:49:11.042070,164,1666392551,39271436,,10.019540786743164
2022/10/21/16:49:11.243066,165,1666392551,238271436,,15.884661674499512
2022/10/21/16:49:11.443602,166,1666392551,438271436,,16.862178802490234
2022/10/21/16:49:11.640060,167,1666392551,637271436,,14.907145500183105
2022/10/21/16:49:11.840873,168,1666392551,836271436,,18.817211151123047
2022/10/21/16:49:12.041657,169,1666392552,36271436,,16.862178802490234
2022/10/21/16:49:12.238094,170,1666392552,235271436,,12.952113151550293
2022/10/21/16:49:12.442963,171,1666392552,436271436,,17.83969497680664
2022/10/21/16:49:12.639499,172,1666392552,636371196,,20.77224349975586
2022/10/21/16:49:12.840277,173,1666392552,836371196,,17.83969497680664
2022/10/21/16:49:13.041549,174,1666392553,35371196,,17.83969497680664
2022/10/21/16:49:13.237638,175,1666392553,234371196,,16.862178802490234
2022/10/21/16:49:13.438171,176,1666392553,434371196,,16.862178802490234
2022/10/21/16:49:13.638931,177,1666392553,632371196,,19.794727325439453
2022/10/21/16:49:13.835946,178,1666392553,832371196,,10.019540786743164
2022/10/21/16:49:14.036223,179,1666392554,32371196,,11.974573135375977
2022/10/21/16:49:14.236936,180,1666392554,230371196,,11.974573135375977
2022/10/21/16:49:14.433592,181,1666392554,430371196,,10.019540786743164
2022/10/21/16:49:14.634243,182,1666392554,629371196,,14.907145500183105
2022/10/21/16:49:14.835113,183,1666392554,828371196,,19.794727325439453
2022/10/21/16:49:15.035768,184,1666392555,30371196,,17.83969497680664
2022/10/21/16:49:15.236475,185,1666392555,229474605,,15.884661674499512
2022/10/21/16:49:15.433223,186,1666392555,428474605,,15.884661674499512
2022/10/21/16:49:15.634377,187,1666392555,628474605,,17.83969497680664
2022/10/21/16:49:15.834391,188,1666392555,827474605,,18.817211151123047
2022/10/21/16:49:16.031024,189,1666392556,26474605,,17.83969497680664
2022/10/21/16:49:16.231774,190,1666392556,225474605,,14.907145500183105
2022/10/21/16:49:16.432575,191,1666392556,425474605,,17.83969497680664
2022/10/21/16:49:16.629180,192,1666392556,624474605,,13.9296293258667
2022/10/21/16:49:16.829919,193,1666392556,823474605,,14.907145500183105
2022/10/21/16:49:17.030693,194,1666392557,23474605,,19.794727325439453
2022/10/21/16:49:17.226983,195,1666392557,221474605,,8.064508438110352
2022/10/21/16:49:17.427860,196,1666392557,421474605,,13.9296293258667
2022/10/21/16:49:17.628431,197,1666392557,623474605,,16.862178802490234
2022/10/21/16:49:17.829175,198,1666392557,825786008,,17.83969497680664
2022/10/21/16:49:18.029919,199,1666392558,24786008,,10.019540786743164
2022/10/21/16:49:18.226457,200,1666392558,223786008,,13.9296293258667
2022/10/21/16:49:18.427128,201,1666392558,423786008,,11.974573135375977
2022/10/21/16:49:18.627963,202,1666392558,622786008,,18.817211151123047
2022/10/21/16:49:18.824620,203,1666392558,821786008,,12.952113151550293
2022/10/21/16:49:19.025297,204,1666392559,21786008,,9.042024612426758
2022/10/21/16:49:19.225915,205,1666392559,219786008,,13.9296293258667
2022/10/21/16:49:19.422560,206,1666392559,419786008,,16.862178802490234
2022/10/21/16:49:19.623489,207,1666392559,619786008,,16.862178802490234
2022/10/21/16:49:19.821436,208,1666392559,817786008,,15.884661674499512
2022/10/21/16:49:20.020602,209,1666392560,17786008,,19.794727325439453
2022/10/21/16:49:20.221534,210,1666392560,219786008,,17.83969497680664
2022/10/21/16:49:20.422136,211,1666392560,417567075,,13.9296293258667
2022/10/21/16:49:20.622941,212,1666392560,617567075,,16.862178802490234
2022/10/21/16:49:20.823527,213,1666392560,816567075,,15.884661674499512
2022/10/21/16:49:21.020072,214,1666392561,15567075,,14.907145500183105
2022/10/21/16:49:21.220668,215,1666392561,215567075,,12.952113151550293
2022/10/21/16:49:21.417670,216,1666392561,414567075,,14.907145500183105
2022/10/21/16:49:21.618213,217,1666392561,613567075,,18.817211151123047
2022/10/21/16:49:21.819096,218,1666392561,812567075,,13.9296293258667
2022/10/21/16:49:22.015440,219,1666392562,12567075,,20.77224349975586
2022/10/21/16:49:22.216174,220,1666392562,211567075,,14.907145500183105
2022/10/21/16:49:22.416906,221,1666392562,410567075,,-238.26980590820312
2022/10/21/16:49:22.613391,222,1666392562,610567075,,-47.653961181640625
2022/10/21/16:49:22.818216,223,1666392562,811567075,,-245.1124267578125
2022/10/21/16:49:23.015533,224,1666392563,11744798,,-73.06940460205078
2022/10/21/16:49:23.215698,225,1666392563,211744798,,-35.923744201660156
2022/10/21/16:49:23.416243,226,1666392563,409744798,,-236.31475830078125
2022/10/21/16:49:23.612904,227,1666392563,609744798,,-242.17987060546875
2022/10/21/16:49:23.813686,228,1666392563,808744798,,-53.51905822753906
2022/10/21/16:49:24.014319,229,1666392564,7744798,,-249.02249145507812
2022/10/21/16:49:24.211805,230,1666392564,207744798,,-238.26980590820312
2022/10/21/16:49:24.411659,231,1666392564,406744798,,-235.3372344970703
2022/10/21/16:49:24.612621,232,1666392564,606744798,,-63.29423141479492
2022/10/21/16:49:24.809061,233,1666392564,804744798,,-35.923744201660156
2022/10/21/16:49:25.009672,234,1666392565,4744798,,-226.5395965576172
2022/10/21/16:49:25.210333,235,1666392565,204744798,,-60.3616828918457
2022/10/21/16:49:25.410917,236,1666392565,405744798,,-32.01367950439453
2022/10/21/16:49:25.611916,237,1666392565,605508222,,-204.05670166015625
2022/10/21/16:49:25.808433,238,1666392565,804508222,,-250.0
2022/10/21/16:49:26.009142,239,1666392566,3508222,,-250.0
2022/10/21/16:49:26.209948,240,1666392566,202508222,,-55.474090576171875
2022/10/21/16:49:26.406419,241,1666392566,402508222,,-38.85631561279297
2022/10/21/16:49:26.607261,242,1666392566,601508222,,-239.24732971191406
2022/10/21/16:49:26.807861,243,1666392566,800508222,,-52.541542053222656
2022/10/21/16:49:27.005059,244,1666392567,508222,,-94.57479095458984
2022/10/21/16:49:27.205466,245,1666392567,198508222,,-41.78886413574219
2022/10/21/16:49:27.405672,246,1666392567,398508222,,-34.94622802734375
2022/10/21/16:49:27.602831,247,1666392567,598508222,,-40.81134796142578
2022/10/21/16:49:27.803242,248,1666392567,796508222,,-239.24732971191406
2022/10/21/16:49:28.003866,249,1666392567,999508222,,-246.08993530273438
2022/10/21/16:49:28.209480,250,1666392568,200012506,,-235.3372344970703
2022/10/21/16:49:28.405540,251,1666392568,399012506,,-235.3372344970703
2022/10/21/16:49:28.602172,252,1666392568,599012506,,-248.0449676513672
2022/10/21/16:49:28.802770,253,1666392568,798012506,,-223.60704040527344
2022/10/21/16:49:28.999439,254,1666392568,997012506,,-96.52982330322266
2022/10/21/16:49:29.201465,255,1666392569,196012506,,-125.85533142089844
2022/10/21/16:49:29.401177,256,1666392569,396012506,,-76.9794692993164
