time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:49:03.664925,127,1666392543,657143268,,37.390018463134766
2022/10/21/16:49:03.865531,128,1666392543,855143268,,35.43498611450195
2022/10/21/16:49:04.063272,129,1666392544,55143268,,34.45746994018555
2022/10/21/16:49:04.263045,130,1666392544,255143268,,37.390018463134766
2022/10/21/16:49:04.463748,131,1666392544,453143268,,35.43498611450195
2022/10/21/16:49:04.664604,132,1666392544,656143268,,35.43498611450195
2022/10/21/16:49:04.865015,133,1666392544,854912652,,37.390018463134766
2022/10/21/16:49:05.061889,134,1666392545,53912652,,34.45746994018555
2022/10/21/16:49:05.262449,135,1666392545,253912652,,31.524921417236328
2022/10/21/16:49:05.463176,136,1666392545,452912652,,34.45746994018555
2022/10/21/16:49:05.660221,137,1666392545,651912652,,36.41250228881836
2022/10/21/16:49:05.860704,138,1666392545,851912652,,33.47995376586914
2022/10/21/16:49:06.061038,139,1666392546,50912652,,34.45746994018555
2022/10/21/16:49:06.257803,140,1666392546,249912652,,33.47995376586914
2022/10/21/16:49:06.458353,141,1666392546,448912652,,37.390018463134766
2022/10/21/16:49:06.659242,142,1666392546,648912652,,37.390018463134766
2022/10/21/16:49:06.855798,143,1666392546,847912652,,32.502437591552734
2022/10/21/16:49:07.056855,144,1666392547,46912652,,34.45746994018555
2022/10/21/16:49:07.257366,145,1666392547,248912652,,35.43498611450195
2022/10/21/16:49:07.457935,146,1666392547,449232877,,36.41250228881836
2022/10/21/16:49:07.658585,147,1666392547,649232877,,34.45746994018555
2022/10/21/16:49:07.855913,148,1666392547,849232877,,38.367557525634766
2022/10/21/16:49:08.056009,149,1666392548,47232877,,33.47995376586914
2022/10/21/16:49:08.256616,150,1666392548,247232877,,34.45746994018555
2022/10/21/16:49:08.453311,151,1666392548,446232877,,30.547405242919922
2022/10/21/16:49:08.654164,152,1666392548,645232877,,35.43498611450195
2022/10/21/16:49:08.854743,153,1666392548,845232877,,38.367557525634766
2022/10/21/16:49:09.051451,154,1666392549,44232877,,35.43498611450195
2022/10/21/16:49:09.251892,155,1666392549,243232877,,34.45746994018555
2022/10/21/16:49:09.452582,156,1666392549,443232877,,33.47995376586914
2022/10/21/16:49:09.649354,157,1666392549,642232877,,33.47995376586914
2022/10/21/16:49:09.854006,158,1666392549,843232877,,37.390018463134766
2022/10/21/16:49:10.050734,159,1666392550,42271436,,34.45746994018555
2022/10/21/16:49:10.251489,160,1666392550,242271436,,33.47995376586914
2022/10/21/16:49:10.452136,161,1666392550,442271436,,33.47995376586914
2022/10/21/16:49:10.648870,162,1666392550,640271436,,36.41250228881836
2022/10/21/16:49:10.849500,163,1666392550,840271436,,31.524921417236328
2022/10/21/16:49:11.050127,164,1666392551,39271436,,39.34507369995117
2022/10/21/16:49:11.246825,165,1666392551,238271436,,35.43498611450195
2022/10/21/16:49:11.447489,166,1666392551,438271436,,34.45746994018555
2022/10/21/16:49:11.648116,167,1666392551,637271436,,35.43498611450195
2022/10/21/16:49:11.844758,168,1666392551,836271436,,31.524921417236328
2022/10/21/16:49:12.045502,169,1666392552,35271436,,37.390018463134766
2022/10/21/16:49:12.246355,170,1666392552,235271436,,34.45746994018555
2022/10/21/16:49:12.447059,171,1666392552,436271436,,36.41250228881836
2022/10/21/16:49:12.647611,172,1666392552,636371196,,40.32258987426758
2022/10/21/16:49:12.844269,173,1666392552,836371196,,37.390018463134766
2022/10/21/16:49:13.045406,174,1666392553,34371196,,39.34507369995117
2022/10/21/16:49:13.245522,175,1666392553,234371196,,31.524921417236328
2022/10/21/16:49:13.442172,176,1666392553,434371196,,38.367557525634766
2022/10/21/16:49:13.642836,177,1666392553,632371196,,38.367557525634766
2022/10/21/16:49:13.846653,178,1666392553,832371196,,37.390018463134766
2022/10/21/16:49:14.040370,179,1666392554,32371196,,33.47995376586914
2022/10/21/16:49:14.241046,180,1666392554,230371196,,33.47995376586914
2022/10/21/16:49:14.441668,181,1666392554,430371196,,34.45746994018555
2022/10/21/16:49:14.638390,182,1666392554,629371196,,35.43498611450195
2022/10/21/16:49:14.839193,183,1666392554,828371196,,36.41250228881836
2022/10/21/16:49:15.039803,184,1666392555,30371196,,32.502437591552734
2022/10/21/16:49:15.240610,185,1666392555,229474605,,36.41250228881836
2022/10/21/16:49:15.441268,186,1666392555,428474605,,33.47995376586914
2022/10/21/16:49:15.638183,187,1666392555,627474605,,35.43498611450195
2022/10/21/16:49:15.838410,188,1666392555,827474605,,40.32258987426758
