rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,layout,dim,data_offset,data
1666985361621372719,,3538,,1666985361,613712619,'',,,[],0,"[77.46823120117188, 175.2199249267578, 250.48876953125, 46.187686920166016, 54.007816314697266, 187.92767333984375, 354.1055908203125, 44.2326545715332, 31.524921417236328, 85.28836059570312, 308.1622619628906, 44.2326545715332, 31.524921417236328, 49.120235443115234, 379.52105712890625, 39.34507369995117]"
1666985361817982095,,3539,,1666985361,812193849,'',,,[],0,"[79.42326354980469, 172.28736877441406, 249.51124572753906, 47.16520309448242, 55.96284866333008, 181.08506774902344, 353.1280517578125, 44.2326545715332, 34.45746994018555, 84.31084442138672, 304.252197265625, 44.2326545715332, 30.547405242919922, 56.940364837646484, 381.47607421875, 38.367557525634766]"
1666985362018671306,,3540,,1666985362,11193849,'',,,[],0,"[79.42326354980469, 171.3098602294922, 249.51124572753906, 48.14271926879883, 54.007816314697266, 181.08506774902344, 358.0156555175781, 46.187686920166016, 36.41250228881836, 81.3782958984375, 308.1622619628906, 45.21017074584961, 28.59237289428711, 54.007816314697266, 380.4985656738281, 37.390018463134766]"
1666985362219389140,,3541,,1666985362,211193849,'',,,[],0,"[82.3558120727539, 172.28736877441406, 249.51124572753906, 50.09775161743164, 54.007816314697266, 188.9051971435547, 352.1505432128906, 39.34507369995117, 30.547405242919922, 83.33332824707031, 304.252197265625, 40.32258987426758, 28.59237289428711, 54.007816314697266, 377.5660095214844, 38.367557525634766]"
1666985362420110573,,3542,,1666985362,411193849,'',,,[],0,"[75.51319885253906, 169.35482788085938, 249.51124572753906, 49.120235443115234, 54.007816314697266, 184.01760864257812, 351.17303466796875, 45.21017074584961, 36.41250228881836, 82.3558120727539, 300.3421325683594, 42.27762222290039, 32.502437591552734, 55.96284866333008, 378.54351806640625, 40.32258987426758]"
1666985362617350291,,3543,,1666985362,611193849,'',,,[],0,"[80.4007797241211, 172.28736877441406, 248.5337371826172, 47.16520309448242, 53.03030014038086, 186.95016479492188, 349.2179870605469, 46.187686920166016, 39.34507369995117, 81.3782958984375, 305.2297058105469, 50.09775161743164, 32.502437591552734, 54.007816314697266, 374.6334228515625, 35.43498611450195]"
1666985362817525232,,3544,,1666985362,809193849,'',,,[],0,"[82.3558120727539, 176.19747924804688, 255.3763427734375, 48.14271926879883, 54.007816314697266, 181.08506774902344, 354.1055908203125, 46.187686920166016, 30.547405242919922, 80.4007797241211, 301.31964111328125, 45.21017074584961, 27.614856719970703, 54.98533248901367, 376.5885009765625, 36.41250228881836]"
1666985363018089003,,3545,,1666985363,9193849,'',,,[],0,"[79.42326354980469, 176.19747924804688, 251.46627807617188, 47.16520309448242, 54.98533248901367, 184.01760864257812, 350.1955261230469, 44.2326545715332, 30.547405242919922, 82.3558120727539, 297.4095764160156, 44.2326545715332, 36.41250228881836, 55.96284866333008, 373.6559143066406, 37.390018463134766]"
1666985363214825808,,3546,,1666985363,209193849,'',,,[],0,"[82.3558120727539, 174.24240112304688, 251.46627807617188, 48.14271926879883, 56.940364837646484, 184.99513244628906, 353.1280517578125, 49.120235443115234, 26.637340545654297, 82.3558120727539, 299.3646240234375, 41.300106048583984, 23.704792022705078, 54.007816314697266, 372.6783752441406, 43.2551383972168]"
1666985363415449919,,3547,,1666985363,408193849,'',,,[],0,"[78.44574737548828, 176.19747924804688, 253.4213104248047, 47.16520309448242, 56.940364837646484, 181.08506774902344, 341.3978576660156, 46.187686920166016, 39.34507369995117, 85.28836059570312, 305.2297058105469, 46.187686920166016, 36.41250228881836, 57.91788101196289, 366.81329345703125, 38.367557525634766]"
